dt_venda,loja,uf,produto,canal_venda,tipo_venda,vlr_venda,qt_venda,qt_dias_com_estoque,qt_dias_sem_estoque,qt_dias_com_estoque_aberta,qt_dias_sem_estoque_aberta,qt_dias_loja_fechada,estoque_loja,habilitador
2023-01-13,ABC13387,SP,Produto X,LOJA,PROMOCAO,122.0,0,2,26,2,4,22,0,1
2023-01-31,ABC12684,SP,Produto Z,LOJA,PROMOCAO,260.0,0,21,0,19,0,2,1,1
2023-01-01,ABC12684,SP,Produto Z,LOJA,PROMOCAO,213.0,0,28,0,27,0,1,4,1
2023-01-23,ABC12684,SP,Produto X,LOJA,PROMOCAO,113.0,0,21,0,19,0,2,3,1
2023-01-10,ABC12684,SP,Produto Z,LOJA,PROMOCAO,213.0,0,28,0,27,0,1,3,1
2023-02-06,ABC12684,SP,Produto Z,LOJA,PROMOCAO,260.0,0,21,0,19,0,2,1,1
2023-01-10,ABC17539,RJ,Produto Z,LOJA,PROMOCAO,221.0,0,28,0,6,0,22,9,0
2023-01-19,ABC12684,SP,Produto X,LOJA,PROMOCAO,122.0,0,21,7,20,7,1,3,1
2023-01-11,ABC17539,RJ,Produto Z,LOJA,PROMOCAO,221.0,0,28,0,6,0,22,9,0
2023-01-20,ABC13387,SP,Produto Z,LOJA,PROMOCAO,213.0,0,24,4,6,0,22,0,1
2023-01-21,ABC13387,SP,Produto X,LOJA,PROMOCAO,122.0,0,2,26,2,4,22,0,1
2023-01-20,ABC12684,SP,Produto X,LOJA,PROMOCAO,122.0,0,21,7,20,7,1,3,1
2023-01-26,ABC12684,SP,Produto Z,LOJA,PROMOCAO,260.0,0,21,0,19,0,2,1,1
2023-01-01,ABC12684,SP,Produto X,LOJA,PROMOCAO,122.0,0,21,7,20,7,1,1,1
2023-01-08,ABC17539,RJ,Produto Z,LOJA,PROMOCAO,221.0,0,28,0,6,0,22,9,0
2023-01-16,ABC12684,SP,Produto Z,LOJA,PROMOCAO,213.0,0,28,0,27,0,1,3,1
2023-01-31,ABC12684,SP,Produto X,LOJA,PROMOCAO,113.0,0,21,0,19,0,2,2,1
2023-01-12,ABC12684,SP,Produto X,LOJA,PROMOCAO,122.0,0,21,7,20,7,1,0,1
2023-01-03,ABC12684,SP,Produto Z,LOJA,PROMOCAO,213.0,0,28,0,27,0,1,4,1
2023-01-04,ABC13387,SP,Produto Z,LOJA,PROMOCAO,213.0,0,24,4,6,0,22,8,0
2023-01-24,ABC12684,SP,Produto X,LOJA,PROMOCAO,113.0,0,21,0,19,0,2,3,1
2023-02-09,ABC12684,SP,Produto Z,LOJA,PROMOCAO,260.0,0,21,0,19,0,2,1,1
2023-01-22,ABC12684,SP,Produto Z,LOJA,PROMOCAO,213.0,0,28,0,27,0,1,1,1
2023-01-10,ABC13387,SP,Produto Z,LOJA,PROMOCAO,213.0,0,24,4,6,0,22,8,0
2023-01-21,ABC17539,RJ,Produto X,LOJA,PROMOCAO,122.0,0,28,0,6,0,22,1,1
2023-01-14,ABC17539,RJ,Produto Z,LOJA,PROMOCAO,221.0,0,28,0,6,0,22,9,0
2023-01-06,ABC17539,RJ,Produto X,LOJA,PROMOCAO,122.0,0,28,0,6,0,22,1,1
2023-01-20,ABC12684,SP,Produto Z,LOJA,PROMOCAO,213.0,0,28,0,27,0,1,1,1
2023-01-07,ABC17539,RJ,Produto X,LOJA,PROMOCAO,122.0,0,28,0,6,0,22,1,1
2023-01-19,ABC17539,RJ,Produto X,LOJA,PROMOCAO,122.0,0,28,0,6,0,22,1,1
2023-01-22,ABC17539,RJ,Produto X,LOJA,PROMOCAO,122.0,0,28,0,6,0,22,1,1
2023-01-02,ABC13387,SP,Produto X,LOJA,PROMOCAO,122.0,0,2,26,2,4,22,0,1
2023-01-02,ABC12684,SP,Produto X,LOJA,PROMOCAO,122.0,0,21,7,20,7,1,1,1
2023-01-07,ABC13387,SP,Produto X,LOJA,PROMOCAO,122.0,0,2,26,2,4,22,0,1
2023-01-11,ABC13387,SP,Produto X,LOJA,PROMOCAO,122.0,0,2,26,2,4,22,0,1
2023-01-16,ABC12684,SP,Produto X,LOJA,PROMOCAO,122.0,0,21,7,20,7,1,0,1
2023-01-05,ABC17539,RJ,Produto Z,LOJA,PROMOCAO,221.0,0,28,0,6,0,22,9,0
2023-01-09,ABC12684,SP,Produto Z,LOJA,PROMOCAO,213.0,0,28,0,27,0,1,3,1
2023-01-02,ABC17539,RJ,Produto Z,LOJA,PROMOCAO,221.0,0,28,0,6,0,22,9,0
2023-01-16,ABC17539,RJ,Produto Z,LOJA,PROMOCAO,221.0,0,28,0,6,0,22,9,0
